序,日期,代號,成交筆數,總成交金額,總成交股數,開盤價,最高價,最低價,收盤價,證券商,成交單價,買進股數,賣出股數
1.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,116m,10.05,0.0,10000.0
2.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,1470,10.05,0.0,1000.0
3.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,1480,10.05,2000.0,0.0
4.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,2180,10.05,0.0,2000.0
5.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,2181,10.0,39.0,0.0
6.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,5266,10.0,0.0,778.0
7.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,592b,10.1,0.0,2000.0
8.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,592U,10.05,0.0,2000.0
9.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,700I,10.1,2000.0,2000.0
10.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,845D,10.0,739.0,0.0
11.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,8560,10.05,0.0,2000.0
12.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,8843,10.05,0.0,1000.0
13.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,918C,10.05,7000.0,0.0
14.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,9333,10.05,1000.0,0.0
15.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,9343,10.0,0.0,1000.0
16.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,9625,10.1,1000.0,0.0
17.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,9676,10.0,1000.0,0.0
18.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,9676,10.05,8000.0,0.0
19.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,981D,10.1,1000.0,0.0
20.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,981m,10.05,0.0,5000.0
21.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,9831,10.05,10000.0,0.0
22.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,9874,10.05,0.0,3000.0
23.0,2016-05-18,1108.0,20.0,339580.0,33778.0,10.05,10.1,10.0,10.1,9A9c,10.05,0.0,2000.0
