日期,代號,證券商,買進股數,賣出股數,買賣超股數,買進金額,賣出金額,買賣超金額,買進均價,賣出均價,買進比重,賣出比重,成交筆數,總成交金額,總成交股數,開盤價,最高價,最低價,收盤價
2016-07-01,6205.0,1020,2000.0,1000.0,1000.0,54300.0,27450.0,26850.0,27.15,27.45,2.0,1.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,1024,1000.0,0.0,1000.0,27400.0,0.0,27400.0,27.4,0.0,1.0,0.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,1034,0.0,2000.0,-2000.0,0.0,54900.0,-54900.0,0.0,27.45,0.0,2.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,1041,7000.0,0.0,7000.0,189700.0,0.0,189700.0,27.1,0.0,6.0,0.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,104C,12000.0,0.0,12000.0,326400.0,0.0,326400.0,27.2,0.0,10.0,0.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,1097,0.0,1000.0,-1000.0,0.0,27450.0,-27450.0,0.0,27.45,0.0,1.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,116E,2000.0,2000.0,0.0,54200.0,54800.0,-600.0,27.1,27.4,2.0,2.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,116X,0.0,1000.0,-1000.0,0.0,27400.0,-27400.0,0.0,27.4,0.0,1.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,1440,0.0,13000.0,-13000.0,0.0,355400.0,-355400.0,0.0,27.34,0.0,11.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,5262,0.0,2000.0,-2000.0,0.0,54900.0,-54900.0,0.0,27.45,0.0,2.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,538G,0.0,4000.0,-4000.0,0.0,109650.0,-109650.0,0.0,27.41,0.0,3.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,5852,0.0,2000.0,-2000.0,0.0,54900.0,-54900.0,0.0,27.45,0.0,2.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,585A,3000.0,0.0,3000.0,81900.0,0.0,81900.0,27.3,0.0,3.0,0.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,592b,0.0,1000.0,-1000.0,0.0,27400.0,-27400.0,0.0,27.4,0.0,1.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,592v,2000.0,0.0,2000.0,54400.0,0.0,54400.0,27.2,0.0,2.0,0.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,6012,5000.0,0.0,5000.0,136000.0,0.0,136000.0,27.2,0.0,4.0,0.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,6912,2000.0,0.0,2000.0,54400.0,0.0,54400.0,27.2,0.0,2.0,0.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,7008,9000.0,0.0,9000.0,246600.0,0.0,246600.0,27.4,0.0,7.000000000000001,0.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,700I,1000.0,0.0,1000.0,27200.0,0.0,27200.0,27.2,0.0,1.0,0.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,700U,3000.0,0.0,3000.0,81600.0,0.0,81600.0,27.2,0.0,3.0,0.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,703A,1000.0,0.0,1000.0,27400.0,0.0,27400.0,27.4,0.0,1.0,0.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
2016-07-01,6205.0,779m,0.0,1000.0,-1000.0,0.0,27200.0,-27200.0,0.0,27.2,0.0,1.0,66.0,3273000.0,120000.0,27.6,27.6,27.1,27.4
